--- Début du log du Script Final v4.7 (Bbox Support) : Tue Feb 03 2026 21:52:57 GMT+0100 ---
--- Fichier : C:\temp\final_recenter_script_log_2026-02-03_21-52-57.txt ---
[21:52:57] --- Début du script : Recadrage Statique Intelligent v4.5 (Bbox Support) ---
[21:52:57] Plage de frames utile calculée : 0 - 6053
[21:52:57] Fichier JSON Vidéo auto-détecté : F:\16 Camille\docs\Bagarre générale entre Greg, Paga, Kevin et Allan !_ae.json
[21:52:57] Lecture du fichier VIDÉO F:\16 Camille\docs\Bagarre générale entre Greg, Paga, Kevin et Allan !_ae.json...
[21:52:57]   [PY] manifest=C:\Users\kidpixel\AppData\Local\Temp\ae_manifest_2026-02-03_21-52-57.json, result=C:\Users\kidpixel\AppData\Local\Temp\ae_results_2026-02-03_21-52-57.json
[21:52:58]   - [PY] Calque=Segment 42 (00:03:03,640) center_x=784.9 label=3 reason=face_presence id=obj_339
[21:52:58]   - [PY] Calque=Segment 43 (00:03:06,080) center_x=608.6 label=3 reason=face_presence id=obj_341
[21:52:58]   - [PY] Calque=Segment 44 (00:03:09,880) center_x=811.4 label=3 reason=face_presence id=obj_347
[21:52:58]   - [PY] Calque=Segment 45 (00:03:10,960) center_x=597.3 label=3 reason=face_presence id=obj_348
[21:52:58]   - [PY] Calque=Segment 46 (00:03:15,000) center_x=1304.9 label=12 reason=face_presence id=obj_349
[21:52:58]   - [PY] Calque=Segment 47 (00:03:18,000) center_x=879.2 label=3 reason=face_presence id=obj_357
[21:52:58]   - [PY] Calque=Segment 48 (00:03:19,680) center_x=1719.2 label=3 reason=face_presence id=obj_365
[21:52:58]   - [PY] Calque=Segment 49 (00:03:23,120) center_x=939.3 label=3 reason=face_presence id=obj_366
[21:52:58]   - [PY] Calque=Segment 50 (00:03:30,880) center_x=1632.6 label=3 reason=face_presence id=obj_370
[21:52:58]   - [PY] Calque=Segment 53 (00:03:39,080) center_x=540.0 label=3 reason=face_presence id=obj_384
[21:52:58]   - [PY] Calque=Segment 54 (00:03:44,400) center_x=950.5 label=12 reason=face_presence id=obj_399
[21:52:58]   - [PY] Calque=Segment 55 (00:03:47,960) center_x=712.2 label=3 reason=face_presence id=obj_404
[21:52:58]   - [PY] Calque=Segment 56 (00:03:49,440) center_x=1201.2 label=12 reason=face_presence id=obj_405
[21:52:58] --- Fin (Python analyzer) ---
[21:53:00] --- Script terminé ---
--- Fin du log ---
